,Key,Mean
927,symbolic graph,đồ thị biểu tượng
928,Taylor expansion,khai triển Taylor
929,target data / distribution,dữ liệu / phân phối mục tiêu
930,task-specific,đặc thù cho tác vụ
931,task-agnostic,không phân biệt tác vụ
932,tensor contraction,phép co tensor
933,test set,tập kiểm tra
934,test set performance,chất lượng trên tập kiểm tra
935,test statistic,tiêu chuẩn kiểm định
936,text data,dữ liệu văn bản
937,text tagging,gán thẻ văn bản
938,timeseries analysis,phân tích dữ liệu chuỗi thời gian
939,timestep,bước thời gian
940,token,token
941,total variation,biến thiên toàn phần
942,total variation denoising,khử nhiễu biến thiên toàn phần
943,training dev set,tập phát triển huấn luyện
944,training set,tập huấn luyện
945,training set performance,chất lượng trên tập huấn luyện
946,transcribe,phiên thoại
947,transcription,bản ghi thoại
948,transfer learning,học truyền tải
949,transformer,transformer
950,transition layer,tầng chuyển tiếp
951,translation invariant,bất biến tịnh tiến
952,transposed convolution,tích chập chuyển vị
953,true negative,âm tính thật
954,true positive,dương tính thật
955,truncated backpropagation through time,lan truyền ngược qua thời gian bị cắt xén
956,tune parameters,điều chỉnh tham số
957,two-sided test,kiểm định hai phía
958,two-tailed test,kiểm định hai đuôi
959,unavoidable bias,độ chệch không tránh được
960,underfit,dưới khớp
961,underflow (numerical),tràn (số) dưới
962,unit (in neural networks),nút
963,unsupervised learning,học không giám sát
964,upsample,tăng mẫu
965,upstream task,tác vụ ngược dòng
966,validation set,tập kiểm định
967,value,giá trị
968,vanishing gradient,tiêu biến gradient
969,variance (of an estimator),phương sai
970,variational,biến phân
971,vector,vector
972,vectorization,vector hóa
973,warmup (in learning rate scheduling),khởi động
974,weight decay,suy giảm trọng số
975,well-behaved function (analytic function),hàm khả vi vô hạn
976,whitening data,tẩy trắng dữ liệu
977,worker (in distributed system),máy thợ
978,wrapper function (in programming),hàm wrapper
